product_name,brands,nova_group,environmental_score_score,carbon_footprint_combined,nutrition_score_combined
Smokey Cajun chicken Jambalaya,"marks & Spencer,M&S",3.0,48.0,688.2,0.0
diots de savoie fumés,saveurs de nos régions,3.0,46.0,662.3,28.0
Piri Piri Chicken Slices,M&S,3.0,41.0,436.1,0.0
Melton Mowbray Pork Pies,Marks And Spencer,4.0,11.0,273.8,16.0
Chicken Tikka Masala,Marks & Spencer,4.0,28.0,485.1,4.0
Chunky lentils & bacon soup,Marks & Spencer,4.0,83.0,11.1,0.0
Chicken Noodle,Marks & Spencer,4.0,36.0,14.7,2.0
Hähnchen-Filetinis,Bofrost,4.0,22.0,450.8,0.0
Sliced Chargrilled Chicken,Marks & Spencer,3.0,22.0,485.1,-4.0
Chicken Tikka Mini Fillets,"Marks & Spencer,M&S",4.0,48.0,411.6,0.0
Crispy Breaded Chicken Tenders,Marks & Spencer,4.0,48.0,284.2,0.0
Club Sandwich avec du Pain Toasté à l'Ancienne,Marks & Spencer,4.0,48.0,68.6,4.0
Sandwich poulet bacon,Marks & Spencer,4.0,44.0,203.9,6.0
Poulet Rôti et Salade sur Pain Spécial,"Marks & Spencer,Marks and Spencer,M&S",4.0,27.0,137.2,-1.0
Salade au poulet et au bacon,Marks & Spencer,3.0,49.0,81.0,2.0
Jambon fromage et pickles,Marks & Spencer,4.0,40.0,162.8,16.0
"Salade de pâtes Poulet, Bacon et Maïs",M&S,4.0,23.0,731.0,2.0
Poulet et Sauce à la Mayonnaise Épicée sur du Pain à l'Oignon,Marks & Spencer,4.0,47.0,117.6,1.0
Chicken Tikka Masala,M&S Food,4.0,26.0,171.5,3.0
Poulet Korma,Marks & Spencer,3.0,38.0,171.5,3.0
Fruity Chicken Curry,Marks & Spencer,3.0,40.0,83.3,1.0
Bouchées de Poulet à la Mexicaine,Marks & Spencer,4.0,28.0,298.9,-5.0
Tikka Masala,Marks & Spencer,4.0,27.0,171.5,1.0
Wrap poulet piri piri,Marks & Spencer,4.0,52.0,93.1,2.0
paupiettes de veau au jus de xérès et estragon,Le bon bag,4.0,9.0,51.25,6.0
Chicken Tikka masala & pilau rice,Sainsbury's,4.0,23.0,78.4,1.0
Quiche saumon,,4.0,41.0,442.0,11.0
Poulet Fumé,Delice Ikbal,4.0,15.0,313.6,19.0
Brochettes de boeuf,Boucheries André,3.0,-15.0,3078.8,6.0
Saucisses de toulouse,Casino,4.0,-8.0,666.0,19.0
Cordon bleu,Le Gaulois,4.0,18.0,290.0,12.0
Merguez Véritables,,4.0,-10.0,2148.0,19.0
Piémontaise au jambon,Mix Buffet,4.0,41.0,98.42,6.0
Saucisse de toulouse,Geant Casino,4.0,-8.0,666.0,19.0
Crepe jambon fromage,Leclerc,4.0,60.0,29.6,1.0
Chipolata supérieur,,4.0,44.0,666.0,15.0
Saucisse type Toulouse,Casino,4.0,-8.0,666.0,19.0
Lasagnes au saumon et épinards,Thiriet,4.0,43.0,97.5,3.0
JAMBON AC LABEL RGE LEFOUE,Le Foué,4.0,36.0,614.2,15.0
Brochettes de porc,Boucheries André,3.0,17.0,636.4,4.0
saucisses aux choux et poireaux,Socopa,4.0,33.0,333.0,19.0
Pizza Saumon,E.Leclerc,4.0,50.0,91.85,9.0
5 Steaks de Porc (Sélection Fan de Barbecue),"L'Etal du Boucher,Cooperl",1.0,30.0,740.0,0.0
pâté de campagne a l'ancienne,leclerc,4.0,19.0,400.34,3.0
Mini boudins noirs nature,Porcidou,4.0,77.0,100.0,20.0
Dinde Farcie aux Pommes aux Figues & aux Marrons,Picard,4.0,50.0,47.19,0.0
Dinde farcie,Picard,4.0,37.0,22.2,2.0
Poularde Farcie aux Morilles et au Vin Jaune,Picard,4.0,51.0,96.93,3.0
Piemontaise au jambon,Leclerc,4.0,41.0,74.0,4.0
Rillette de saumon,,3.0,13.0,182.0,19.0
Chipolata Supérieure,Jean Rozé,4.0,57.0,688.2,15.0
4 saucisses de Toulouse supérieures,jean rozé,4.0,22.0,688.2,15.0
Saucisses de francfort,Le Porc Francais,4.0,38.0,540.2,25.0
Piemontaise au jambon superieur,Carrefour,4.0,42.0,79.92,7.0
Rôti de porc foie gras figues,Maître Jacques,4.0,6.0,518.0,8.0
Rôti filet de porc marrons et girolles,Maître Jacques,4.0,6.0,473.6,11.0
Rôti de porc à la Savoyarde,Maître Jacques,4.0,21.0,466.2,7.0
Aiguillettes de Poulet Marinées Huile d'Olive Romarin,Maître Coq,4.0,51.0,441.0,-3.0
Aiguillettes de poulet marinés thym citron,Maître Coq,4.0,51.0,455.7,-3.0
Aiguillettes de poulet,Maître Coq,4.0,51.0,455.7,0.0
Filet de poulet,Maitre Coq,4.0,22.0,465.5,-3.0
filets de poulet marinés,Maître Coq,4.0,45.0,465.5,-3.0
Piemontaise au jambon,Boucherie André,4.0,39.0,96.2,5.0
Les Milanaises,Le Gaulois,4.0,44.0,572.0,-2.0
L'Extra Tendre Filet de Poulet Mariné,Le Gaulois,4.0,51.0,450.8,-3.0
Filets de poulet extra tendre,Le Gaulois,4.0,49.0,450.8,-2.0
Filets Rôtis de Poulet,Père Dodu,4.0,22.0,441.0,1.0
Cuisses de Poulet Rôties ,Le Gaulois,4.0,49.0,426.3,11.0
grignottes de poulet à la mexicaine,Le Gaulois,4.0,27.0,406.7,11.0
Grignottes de poulet à la mexicaine,Le Gaulois,4.0,27.0,406.7,11.0
Tartare saumon fumé ciboulette et citron,Ronde Des Mers,3.0,10.0,506.0,14.0
Pâté de campagne à la salvetoise,Cabrol,4.0,41.0,222.0,22.0
Lasagnes saumon épinard,André,4.0,43.0,117.0,-1.0
Escalopes milanaise,Père Dodu,4.0,11.0,401.8,-1.0
Rôti de Veau Farci,Tendriade,4.0,-10.0,1322.45,13.0
Saucisson sec,Manet Freres,4.0,16.0,222.0,27.0
Faux-filet de boeuf,Charal,1.0,25.0,3580.0,0.0
Saucisson à l’ail à l’ancienne,"U Saveurs, U",4.0,9.0,266.4,20.0
Jambon de paris,Charles Keller,4.0,12.0,680.8,11.0
Jambon de Paris 4 tranches,Charles Keller,4.0,12.0,680.8,11.0
Saucisse de volaille,Réghalal,4.0,27.0,409.5,2.0
ROTI DE PORC FUMÉ,Maître Jacques,4.0,23.0,666.0,12.0
Saucisse de viande,Metzger Muller,4.0,46.0,179.0,24.0
Poitrine fumée,Metzger Muller,4.0,1.0,673.4,27.0
2 Bavettes d'Aloyau,Charal,1.0,14.0,3580.0,1.0
2 Faux-Filets de Bœuf,Charal,1.0,14.0,3580.0,0.0
Tendres bouchées de volaille,Royal HALAL,4.0,38.0,429.0,-2.0
dès de jambon,tradilege,4.0,41.0,629.0,7.0
Steack haché casher,Bakar,1.0,-11.0,3580.0,6.0
Lasagnes à la Bolognaise,Qilibri,4.0,37.0,501.2,4.0
Couscous a la marocaine poulet et merguez,Qilibri,4.0,52.0,88.2,3.0
"Paëlla andalouse poulet, fruits de mer et chorizo",Qilibri,4.0,33.0,73.5,4.0
Chili con carne,Qilibri,4.0,-1.0,368.74,2.0
Ravioli au bœuf sauce tomate,Qilibri,4.0,62.0,35.8,4.0
Pavé de saumon sauce aneth et son riz,Qilibri,4.0,25.0,162.5,3.0
Hachis parmentier pur bœuf Bio,Qilibri,4.0,36.0,716.0,5.0
Saumon mariné purée de courgettes et pommes de terre,Qilibri,4.0,11.0,169.0,4.0
Cordons bleus volaille,Bofrost,4.0,8.0,294.0,3.0
jambon traditionnel,Saint Alby,4.0,19.0,717.8,13.0
Kerst: Julskinka (kerstham) Doos 1278 Gram Diepvries,Ikea,4.0,12.0,703.0,15.0
Suédois Jambon Cheddar fondu,sodebo,4.0,29.0,207.2,17.0
Le jambonneau,super u,4.0,35.0,703.0,11.0
Le Delirie di Mamma Puggia Sauce Bolognaise avec viande de boeuf,Le Delizie di Mamma Puggia,3.0,110.0,690.94,1.0
Médaillons de filet de poulet,L'étal du Volailler,1.0,51.0,490.0,-6.0
Piémontaise,Bonduelle,4.0,39.0,93.1,3.0
Ravioli jambon fromage,Lustucru,4.0,50.0,14.8,15.0
Riz Cantonais,SFS,4.0,37.0,66.6,6.0
,L'Étal du Boucher,4.0,-4.0,2864.0,15.0
Blanc de dinde - glacé au miel,La Grange,4.0,15.0,520.0,4.0
Sandwich jambon cheddar,DAUNAT,4.0,28.0,116.92,6.0
Rillettes de Poulet Rôti,Bordeau Chesnel,3.0,25.0,441.0,17.0
Escalope de poulet pané,Restor Chef,3.0,6.0,426.3,6.0
Rillettes de poulet,bioporc,3.0,52.0,240.1,15.0
Lasagne bolognese,Eismann,4.0,30.0,358.0,5.0
"16 mini nems - poulet, menthe, légumes, coriandre",Cuisine Evasion,4.0,28.0,25.48,4.0
CRÊPES SAVOYARDES,DESSAINT TRAITEUR,4.0,67.0,74.0,5.0
Haché pur bœuf,tous les jours,1.0,-10.0,3580.0,12.0
Sjorapport,,3.0,21.0,604.5,14.0
Lasagnes à la Bolognaise au Bœuf,Ikea,4.0,34.0,572.8,7.0
Sjörapport Cold-Smoked Salmon,Ikea,3.0,25.0,630.5,15.0
Pavés de poulet,"L’étal Du Vollailler,Lidl",1.0,22.0,490.0,-4.0
Saumon gravelax,"Saumon IKEA,IKEA",3.0,41.0,611.0,17.0
Lasagne bolognaise au bœuf,Ikea,4.0,30.0,572.8,7.0
Filet Minute Extra Tendre,Le Gaulois,4.0,50.0,445.9,-1.0
Salade chicken coleslaw,McDonald's,4.0,28.0,530.18,2.0
Pizza Cuite sur Pierre Kebab,"Mama Mancini,Aldi Einkauf GmbH & Compagnie-oHG",4.0,43.0,57.82,5.0
Salade Chicken Caesar,McDonald's,4.0,51.0,586.04,2.0
Pizza bolognaise surgelée - Casino,casino,4.0,24.0,748.22,5.0
Salade Chicken Caesar,McDonald's,4.0,51.0,653.17,2.0
Emincé de volaille aux champignons et riz,"La cuisine des Saveurs,Aldi",4.0,25.0,191.1,4.0
Piccolinis Bolognese,"Buitoni,Nestlé",4.0,25.0,358.0,6.0
Pollo Arrabiata Parmigiano Wood Fired Pizza,Marks & Spencer,3.0,92.0,36.75,5.0
Lasagne Bolognese,Come a Casa,4.0,35.0,118.4,3.0
Hachis parmentier,Toupargel,4.0,9.0,637.24,4.0
Lasagnes à la bolognaise,Toupargel,4.0,30.0,354.42,4.0
Lasagnes au saumon et épinards,,4.0,43.0,97.5,3.0
Lasagnes saumon poireaux,Monoprix,4.0,43.0,61.35,4.0
Poulet curry vert,,4.0,44.0,98.0,4.0
Sandwich Poulet et Sauce à la Mayonnaise Épicée,Marks & Spencer,4.0,47.0,112.7,2.0
Géante Bolognaise,Les pizzas des Terrasses,4.0,23.0,601.44,7.0
Terrine de Lapin,"AJM,sarl AJM",3.0,44.0,202.5,22.0
TERRINE AUX CHÂTAIGNES,"AJM,Sarl AJM",3.0,61.0,0.05,22.0
Samoussa au Poulet Tikka,Marks & Spencer,4.0,-12.0,122.5,6.0
Pizza Reine,LA PIZZA DE NICO,4.0,40.0,614.2,7.0
Blanquette de veau et ses légumes,Léon Fargues,4.0,4.0,471.5,1.0
Les bouchées apéritives de saumon fumé,Ïod,3.0,33.0,1600.5,12.0
Paëlla Royale,"La cuisine des saveurs, Aldi",4.0,47.0,128.38,1.0
Poulet Tikka Riz Basmati,Asia green garden,4.0,26.0,98.0,2.0
Haché au bœuf,HelloFresh,1.0,27.0,3544.2,8.0
Baguette Millavoise 6 céréales,,4.0,98.0,0.0,2.0
Ragù alla bolognese,Italiamo,4.0,10.0,410.4,4.0
Glenfell - Cordon bleu de poulet,"Culinea,Gebr. Stolle",4.0,24.0,1035.8,3.0
Lasagne Bolognese,"Chef Select,Stefano Toselli",4.0,32.0,177.6,7.0
Доматен сос Болонезе,"Combino,La Doria",4.0,28.0,751.8,9.0
Chair à Saucisse,"L'Étal du Boucher,Lidl",4.0,34.0,666.0,16.0
Blanc de Dinde Rôti,Saint Alby,4.0,13.0,624.0,12.0
Delikatess Kochhinterschinken,Dulano,4.0,12.0,703.0,8.0
Saucisses de Francfort fumées,"Saint Alby,Dulano",4.0,26.0,636.4,21.0
Poitrine cuite fumée,"Saint Alby,Dulano",4.0,33.0,714.1,24.0
Schmelzkäse,Dulano,4.0,23.0,591.5,28.0
Blanc de Poulet - Cuit à l'étouffée (4 tranches),Saint Alby,4.0,21.0,421.4,3.0
Dès de jambon,Saint Alby,4.0,17.0,688.2,11.0
Cervelas,Saint Alby,4.0,50.0,629.0,21.0
Chorizo fort,Le Césarin,4.0,33.0,26.64,33.0
Pâté en croûte cocktail,"Toque du Chef,Roland Monterrat",4.0,3.0,177.6,17.0
Croque monsieur,"Toque Du Chef,Lidl",4.0,40.0,208.68,11.0
Piémontaise,Saladinettes,4.0,47.0,74.0,5.0
Caffe crema,"Toque Du Chef,Combino,Lidl Stiftung & Co. KG",4.0,70.0,22.75,3.0
Ravioli Bolognaise,"Toque du Chef,Combino,Lidl",4.0,74.0,91.66,5.0
Norwegian Smoked Salmon,ocean sea,3.0,34.0,630.5,16.0
Saumon fumé,Lighthouse Bay,3.0,28.0,630.5,17.0
Tarte Flambée,Les Régions à Table,4.0,64.0,88.8,14.0
"Kanan grillivarras, hunaja bbq",Grillimaisteri,4.0,43.0,318.5,1.0
Puda Back Oblaten,NEPTUNE GARDEN,3.0,10.0,630.5,24.0
Knakworsten,Zwagerman,4.0,3.0,569.8,13.0
3 boudins blancs,Saint Alby,3.0,72.0,312.1,19.0
4 Brochettes de dinde nature - Poivrons verts,l'etal du volailler,4.0,50.0,468.0,1.0
,Dulano,4.0,15.0,475.3,3.0
Panés 3 fromages au jambon,Toque du Chef,4.0,30.0,203.8,16.0
Canette farcie,DELUXE,3.0,44.0,101.62,4.0
"Dinde farcie aux Pommes, Figues sèches et Marrons",Deluxe Lidl,4.0,50.0,50.91,-2.0
Couscous à la marocaine au poulet & merguez,Lidl Toque du Chef,4.0,86.0,88.2,3.0
2 club sandwichs Saumon,,4.0,77.0,136.5,4.0
Boudin blanc de Rethel,Pays Gourmand de nos Régions,3.0,16.0,417.36,8.0
Club sandwich jambon cheddar,Bistro Vite !,4.0,59.0,246.42,17.0
4 saucisses de Toulouse,boucherie st clément,4.0,18.0,679.32,17.0
6 Merguez véritables,"L'étal du Boucher,Lidl Stiftung & Co. KG",4.0,-10.0,2327.0,20.0
Saucisses de Toulouse,Big West,4.0,20.0,673.4,17.0
"Quenelles de veau, sauce Financière","Toque du Chef,Lidl Stiftung & Co. KG",4.0,29.0,266.5,7.0
Lasagnes Bolognaise,Villa Gusto,4.0,59.0,716.0,6.0
Chorizo Extra,Sol mar,4.0,37.0,666.0,32.0
Nems au porc,Toque du Chef,3.0,31.0,59.2,20.0
Flammekueche,Saveurs de nos régions,4.0,55.0,96.2,12.0
Rillettes saumon,"Deluxe,Lidl",4.0,8.0,367.25,4.0
Blanc de poulet rôti,"Saint Alby,Dulano,Lidl",4.0,19.0,470.4,12.0
Toulouse cuite grillée sous vide,DLG,4.0,17.0,643.8,22.0
Frühlingsrollen Mit Hähnchenfleisch,"Monissa,Lidl",4.0,3.0,49.0,9.0
Norwegische Lachsfilet-Portionen mit Haut,Fischerstolz,1.0,41.0,650.0,-4.0
Cotes de porc echine,L'Étal du Boucher,1.0,25.0,740.0,2.0
La Classique - Jambon Emmental,"Trattoria Alfredo,Lidl",4.0,54.0,236.8,12.0
4 Steaks Hachés Pur Bœuf,"L'Étal du Boucher,Lidl",1.0,8.0,3580.0,7.0
Pavé de saumon ASC,ASC,1.0,50.0,650.0,-3.0
Pâté en croûte cocktail Olives,Deluxe,4.0,-2.0,167.98,15.0
Filets de poulet,L'ÉTAL DU VOLAILLER,1.0,51.0,490.0,-6.0
Filets de poulet,l'étal du volailler,1.0,27.0,490.0,-6.0
Escalopes de dinde,PiqueBroche,1.0,44.0,650.0,-6.0
Steaks hachés façon bouchère 12% MG VBF 8 x 125g,L'Étal du Boucher,1.0,13.0,3580.0,5.0
Jambon beurre,Chef Select to Go,4.0,30.0,481.0,17.0
Club sandwich jambon emmental,Chef Select,4.0,33.0,207.2,12.0
Club Crudités Poulet Mayonnaise allégée,Chef Select to Go,4.0,42.0,76.93,4.0
Hähnchen süß-sauer,chef select,4.0,30.0,58.8,3.0
Hot Dog saucisses fumées,McEnnedy,4.0,30.0,592.0,7.0
Saucisses de volaille fumées - Emmental & Paprika,Gut Langenof,4.0,-2.0,431.0,16.0
Crudités Poulet sauce Caesar,CHEF SELECT TO GO,4.0,51.0,83.3,-1.0
,"Toque du chef,Fentimans",4.0,40.0,859.2,11.0
Hachis Parmentier,"Toque du Chef,Lidl",4.0,33.0,608.6,6.0
Quiche Lorraine,Norma,4.0,20.0,207.2,16.0
Wild Pink Salmon Fillets,Ocean Sea,1.0,40.0,650.0,-5.0
Картофи с розмарин,Chef Select,4.0,81.0,29.6,3.0
Mortadella Bologna,Dulano,3.0,23.0,717.8,19.0
Rillettes de saumon rose du pacifique,Nixe,4.0,10.0,292.5,2.0
Hachis parmentier,Saveurs du Monde,4.0,13.0,3222.0,4.0
Nuggets de pechuga,Lidl supermercados S.A.U.,4.0,21.0,362.6,2.0
Norwegian salmon fillet,Lidl,3.0,25.0,637.0,16.0
Viande à Bourguignon,L’étal Du Boucher,1.0,9.0,3580.0,2.0
1 Entrecôte,L etal du boucher,1.0,14.0,3580.0,3.0
Aiguillettes de poulet,L’étal Du Volailler,1.0,45.0,490.0,-6.0
Chèvrelard,"Petit Chebra,Lidl",4.0,8.0,244.2,19.0
Mini escalopes de poulet panées,ALPEN FEST,4.0,36.0,338.1,0.0
Brochettes de médaillons de poulet à l'espagnol,"L'Etal du Volailler,Lidl",4.0,26.0,441.0,0.0
Brochettes de medaillons de poulet à la provençale,L'étal du Volailler,4.0,36.0,441.0,-2.0
Familien-Packung Puten-Geschnetzeltes,Landjunker,1.0,22.0,650.0,-6.0
Spécialité d'Alsace - Cervelas à l'alsacienne,Saveurs de nos régions,4.0,26.0,436.6,24.0
Fougasse lardons,Carrefour,4.0,65.0,88.8,15.0
Saumon sockeye sauvage fumé,Delicieux,3.0,25.0,630.5,11.0
Saumon d'Écosse Fumé,"Deluxe,Lidl",3.0,14.0,630.5,18.0
Cuisses de poulets,L'étal du Volailler,1.0,50.0,490.0,0.0
Filets de poulet,L'étal du volailler,1.0,50.0,490.0,-6.0
2 Escalopes*** de Veau,L'étal du boucher,1.0,25.0,2050.0,-1.0
"Salade de pâtes, poulet sauce cocktail",Chef Select to go,4.0,28.0,68.6,1.0
Steaks mini Dinde,Villa Gusto,1.0,45.0,650.0,-6.0
Jambon Cheddar,Chef Select to Go,4.0,33.0,395.9,18.0
Cervelas,Dufaure & Fils,4.0,26.0,629.0,23.0
Rinderburger Mit Gouda,Lidl,3.0,33.0,526.5,18.0
"Boudins blancs à la truffe 1,1%","Deluxe,Lidl",4.0,-2.0,304.7,19.0
Berner Rösti with Smoked Bacon & Emmental Cheese,Alpenfest,4.0,76.0,66.6,4.0
Hot Dog,McEnnedy,4.0,8.0,239.76,18.0
4 tomates farcies,L'Étal du Boucher,4.0,55.0,288.6,6.0
10 saucisses à griller,SAINT ALBY,4.0,27.0,666.0,23.0
Boudins blancs aux morilles,"Deluxe,Lidl Stiftung & Co. KG",4.0,70.0,222.0,19.0
Escalopes de dinde a la milanaise,"L’étal du volailler,Lidl",4.0,40.0,559.0,-2.0
Fines escalopes de poulet paprika,"Piquebroche,lidl",4.0,27.0,470.4,-2.0
Filet de poulet jaune sans peau,L'étal du Volailler,1.0,44.0,490.0,-6.0
Salade sur mesure poulet bacon,Bioline,4.0,26.0,58.8,3.0
2 steaks hachés saumon,Atlantic,4.0,21.0,487.5,2.0
Bœuf bourguignon,Toque du Chef,4.0,4.0,572.8,3.0
"Poulet, pâtes perles et champignons",Toque du Chef,4.0,31.0,79.87,4.0
Chipolatas supérieures,Tradival,4.0,50.0,688.2,18.0
Saumon gravlax ASC,Lidl,4.0,36.0,611.0,13.0
putengeschnetzeltes,"Landjunker, Metzgerfrisch",1.0,45.0,650.0,-6.0
4 Frühlingsrollen mit Rind,"Culinea,FFI",4.0,66.0,286.4,4.0
Saumon - élevé en Écosse,Ocean sea,4.0,10.0,630.5,16.0
Filets de dinde en tournedos bardés,"PiqueBroche, L'étal du volailler",1.0,51.0,74.0,-1.0
Roti de dinde mariné farci aux Marrons Et Raisins De Corinthe,Deluxe Lidl,4.0,44.0,669.5,2.0
Rinderninutensteaks,Lidl,1.0,-15.0,3580.0,0.0
Pizza bolognaise,Trattoria Alfredo,4.0,35.0,468.98,12.0
TK Chicken Nuggets XXL,Culinea,4.0,21.0,352.8,1.0
Lasagnes saumons & épinards,Toque du Chef,4.0,57.0,88.05,6.0
Jamon cocido extra,Realvalle,4.0,12.0,629.0,7.0
BOLOGNESE (avec viande haché),Combino,4.0,19.0,2134.08,3.0
Manchettes de poulet,Chef Select,4.0,15.0,465.5,14.0
Fusilli festonate à la carbonara,"Chef To Go Select,Toque du Chef,Lidl Stiftung & Co. KG",4.0,52.0,99.16,7.0
4 friands à la viande,TOQUE DU CHEF,3.0,4.0,301.18,18.0
Chicken Dippers,"Lidl,Vitasia",4.0,20.0,323.4,4.0
Steaks hachés pur boeuf,L'étal du boucher,1.0,-15.0,3580.0,6.0
"Lasagne à la Bolognaise à l'huile d'olive vierge extra (0,2%)",Toque du Chef,4.0,67.0,501.2,5.0
Lardons,Dulano,4.0,33.0,710.4,26.0
Jambon Magistral Dégraissé,Saint Alby,4.0,17.0,725.2,8.0
2 Cordons Bleus au poulet,L'etal Du Volailler,4.0,38.0,311.7,11.0
"Galette  au blé noir lardons, chèvre & emmental","Toque du Chef,Lidl",4.0,105.0,177.6,8.0
"Blanc de Poulet, A la provençale (4 tranches)","Saint Alby,Lidl Stiftung & Co. KG",4.0,20.0,431.2,12.0
"Blanc de Poulet, Aux herbes (4 tranches)","Saint Alby,Lidl Stiftung & Co. KG",4.0,20.0,431.2,12.0
Émincé de filets poulet,Landjunker,1.0,27.0,490.0,-6.0
Selection - Jambon cuit doré,"Dulano, Saint Alby",4.0,33.0,710.4,8.0
Dés de poulet,"Saint Alby,Dulano",4.0,26.0,465.5,3.0
Jambon Cru au Poivre,"Dulano,Lidl",4.0,-2.0,680.8,22.0
Véritable jambon persillé Bourgogne,Saveurs de nos régions,4.0,41.0,281.2,11.0
Jambo cuit braisé,Realvalle,4.0,12.0,629.0,14.0
Porc au caramel et riz basmati,"Vitasia,Lidl Stiftung & Co. KG",4.0,36.0,98.0,6.0
Riz Cantonais,TOQUE DU CHEF,4.0,37.0,66.6,5.0
Carpaccio de Saumon Mariné,Deluxe,4.0,42.0,1032.2,19.0
Boudins blancs aux cèpes,Deluxe,4.0,70.0,290.8,19.0
Saumon Atlantique Sauce Oseille,"Ocean Sea,Lidl",4.0,43.0,318.5,2.0
Saumon atlantique sauce beurre citron,Ocean Sea,4.0,21.0,318.5,6.0
Quiches lorrains à la crème fraîche,Toque du Chef,4.0,24.0,103.6,16.0
Hähnchen Mini Steaks,"Landjunker, Metzgerfrisch",1.0,27.0,490.0,-6.0
Véritables Knacks d'Alsace,"Saveurs De Nos Regions Lidl,Sans marque,SSA",4.0,9.0,658.8,19.0
Boudin traditionnels antillais,Saint Alby,4.0,90.0,55.5,14.0
4 Paniers jambon fromage,Toque du chef,4.0,20.0,93.24,13.0
Boudins blancs,Deluxe,4.0,87.0,384.8,13.0
Pizza Prosciutto e Mozzarella,Italiamo,4.0,47.0,8.88,5.0
Saumon Rose Sauvage,Nixe,3.0,12.0,643.5,-1.0
Deliziosa Speciale,Trattoria Alfredo,4.0,45.0,41.44,8.0
Hähnchenbrust-Filetstücke Klassik,"Chef Select, Food Fox",4.0,26.0,441.0,2.0
Sushi Box Naniwa,Chef Select to Go,4.0,56.0,52.65,13.0
Sushi Box Ikuno,Chef Select to Go,4.0,60.0,532.35,13.0
Pâté en croûte,Deluxe,4.0,-2.0,132.46,18.0
Paté en croûte aux morilles,Deluxe,4.0,-1.0,193.88,17.0
Taboulé au Poulet à la ciboulette ,"Chef select to go,Lidl Stiftung & Co. KG",4.0,60.0,41.16,5.0
Salade Poulet Parmesan & Œuf,"Chef Select to go,Lidl",4.0,27.0,121.03,3.0
Biftecks sous vide,"L etal du boucher,L'Étal du Boucher,Lidl",1.0,-10.0,3580.0,-1.0
Paëlla,Toque du Chef,4.0,38.0,118.58,3.0
Escalope de dinde milanaise & spaghetti,Toque Du Chef,4.0,41.0,474.5,2.0
Saumon à l'Oseille & riz Basmati,"Toque du Chef,Lidl Stiftung & Co. KG",4.0,45.0,156.0,2.0
Hachis Parmentier à l'Emmental,"Toque du Chef,Lidl Stiftung & Co. KG",4.0,37.0,519.1,7.0
