product_name,brands,nova_group,environmental_score_score,carbon_footprint_combined,nutrition_score_combined
Chilli & Rice Bowl,Marks & Spencer,3.0,-1.0,966.6,1.0
Penne sauce crémeuse volaille et champignons,comme j'aime,4.0,51.0,98.0,3.0
Spaghetti à la bolognaise,Comme j'aime,4.0,,358.0,2.0
Wrap Poulet à la Marocaine,Marks & Spencer,4.0,,78.4,3.0
Roast Chicken Slices,M&S,3.0,50.0,480.2,-4.0
Chicken Arrabbiata,Marks & Spencer,4.0,29.0,68.6,1.0
SPAM chopped pork and ham,Hormel,4.0,,14.8,23.0
Chopped Pork and Ham,Hormel,4.0,,14.8,23.0
Pizza pollo pesto pomodoro 424 g,M&s,3.0,,36.75,11.0
Wrap poulet César et Bacon,Marks & Spencer,4.0,,112.7,1.0
Tajine de Poulet à l'Abricot et son Boulgour,Comme J'aime,4.0,48.0,129.85,2.0
Food Fired Pizza,M&S,3.0,,39.2,4.0
Pork Chipolatas,M&S,4.0,,577.2,12.0
Spiral Lollies,Marks & Spencer,4.0,38.0,68.6,3.0
Shanghai,M&S Food,4.0,,501.2,3.0
Spaghetti & meatballs,Marks And Spencer,4.0,,1324.6,2.0
Chicken Tikka Masala & Basmati Rice,Marks & Spencer,4.0,27.0,98.0,2.0
Chicken korma and pilau rice,"Marks & Spencer,Marks and Spencer",4.0,23.0,98.0,2.0
Sausage rolls,Marks & Spencer,3.0,,259.0,15.0
Puff Pastry Steak & Ale Pie,Marks & Spencer,3.0,,859.2,12.0
Butter Chicken,M&S Food,4.0,48.0,171.5,5.0
Chicken pasta bake,M&S,4.0,29.0,63.7,1.0
Taste Thailand - Chicken Panang Curry with Jasmine Rice,Marks & Spencer,4.0,19.0,78.4,3.0
Pfeffernüsse,Dimpflmeier,,,500.0,13.0
Butter chicken,Marks & Spencer,4.0,22.0,171.5,11.0
British outdoor bred wafer thin honey roast ham,M&S Food,4.0,33.0,673.4,12.0
Beef Lasagne,Marks & Spencer,4.0,34.0,501.2,0.0
Marks & Spencer   Chicken Saag Masala,Marks & Spencer,,47.0,245.0,-1.0
Chicken Korma,Marks & Spencer,3.0,27.0,171.5,3.0
Outdoor Breed Smoked Back Bacon,Marks & Spencer,3.0,,636.4,22.0
Chicken Jalfrezi with Spiced Basmati Rice,Marks & Spencer,4.0,27.0,83.3,-1.0
Smokey Cajun chicken Jambalaya,"marks & Spencer,M&S",3.0,48.0,688.2,0.0
Ham & Mushroom Tagliatelle,"Marks & Spencer,M&S",4.0,,680.8,2.0
Pâte Porc 340G,Maling,4.0,,532.8,20.0
diots de savoie fumés,saveurs de nos régions,3.0,46.0,662.3,28.0
"Ham, Mushroom & Mascarpone - Pasta Melt",Marks & Spencer,4.0,,44.4,5.0
M&S Indian favorites,Marks & Spencer,4.0,,343.0,-2.0
Piri Piri Chicken Slices,M&S,3.0,41.0,436.1,0.0
Melton Mowbray Pork Pies,Marks And Spencer,4.0,11.0,273.8,16.0
Chicken Tikka Masala,Marks & Spencer,4.0,28.0,485.1,4.0
Hot Beef Curry,Marks & Spencer,3.0,,2148.0,5.0
Chunky lentils & bacon soup,Marks & Spencer,4.0,83.0,11.1,0.0
Chicken Noodle,Marks & Spencer,4.0,36.0,14.7,2.0
Hähnchen-Filetinis,Bofrost,4.0,22.0,450.8,0.0
Sliced Chargrilled Chicken,Marks & Spencer,3.0,22.0,485.1,-4.0
Lamb & chicken koftas,M & S,3.0,,117.6,12.0
Chicken Tikka Mini Fillets,"Marks & Spencer,M&S",4.0,48.0,411.6,0.0
Crispy Breaded Chicken Tenders,Marks & Spencer,4.0,48.0,284.2,0.0
Thai Chicken Soup,Marks & Spencer,3.0,,39.2,4.0
Pea & Ham Soup,Marks & Spencer,3.0,,1376.4,0.0
Sandwich Jambon Fumé Sauce Moutarde,Marks & Spencer,4.0,,1028.6,6.0
Club Sandwich avec du Pain Toasté à l'Ancienne,Marks & Spencer,4.0,48.0,68.6,4.0
Sandwich poulet bacon,Marks & Spencer,4.0,44.0,203.9,6.0
Boeuf rôti et oignon,M&S,4.0,,930.8,4.0
Poulet Rôti et Salade sur Pain Spécial,"Marks & Spencer,Marks and Spencer,M&S",4.0,27.0,137.2,-1.0
"Sandwich Bacon, Laitue et Tomates",Marks & Spencer,4.0,,125.8,7.0
Salade au poulet et au bacon,Marks & Spencer,3.0,49.0,81.0,2.0
Jambon fromage et pickles,Marks & Spencer,4.0,40.0,162.8,16.0
"Salade de pâtes Poulet, Bacon et Maïs",M&S,4.0,23.0,731.0,2.0
Poulet et Sauce à la Mayonnaise Épicée sur du Pain à l'Oignon,Marks & Spencer,4.0,47.0,117.6,1.0
Langue de bœuf sauce piquante,Larzul,,-9.0,1646.8,8.0
Chicken Tikka Masala,M&S Food,4.0,26.0,171.5,3.0
Poulet Korma,Marks & Spencer,3.0,38.0,171.5,3.0
Fruity Chicken Curry,Marks & Spencer,3.0,40.0,83.3,1.0
Bouchées de Poulet à la Mexicaine,Marks & Spencer,4.0,28.0,298.9,-5.0
Tikka Masala,Marks & Spencer,4.0,27.0,171.5,1.0
Wrap poulet piri piri,Marks & Spencer,4.0,52.0,93.1,2.0
Chicken and Sweetcorn Soup,Sainsbury's,3.0,,39.2,2.0
viande hachée ultra savoureux,socopa,4.0,,2685.0,5.0
La Pizza &quot;Speciale&quot;,bofrost,4.0,,362.6,13.0
paupiettes de veau au jus de xérès et estragon,Le bon bag,4.0,9.0,51.25,6.0
Chicken Tikka masala & pilau rice,Sainsbury's,4.0,23.0,78.4,1.0
Quiche saumon,,4.0,41.0,442.0,11.0
Chipolata,Carrefour,4.0,,666.0,19.0
Poulet Fumé,Delice Ikbal,4.0,15.0,313.6,19.0
Brochettes de boeuf,Boucheries André,3.0,-15.0,3078.8,6.0
Saucisses de toulouse,Casino,4.0,-8.0,666.0,19.0
Cordon bleu,Le Gaulois,4.0,18.0,290.0,12.0
Merguez Véritables,,4.0,-10.0,2148.0,19.0
Saucisse blanche brassé,Iller,4.0,,436.6,21.0
Piémontaise au jambon,Mix Buffet,4.0,41.0,98.42,6.0
Pizza savoyarde,Leclerc,4.0,,88.8,8.0
Saucisse de toulouse,Geant Casino,4.0,-8.0,666.0,19.0
Fougasse lardons,Carrefour,4.0,,103.6,17.0
Fougasse lardons,Carrefour,4.0,,88.8,14.0
Crepe jambon fromage,Leclerc,4.0,60.0,29.6,1.0
Chipolata supérieur,,4.0,44.0,666.0,15.0
Farce à tomate,Leclerc,4.0,,259.0,17.0
Saucisse type Toulouse,Casino,4.0,-8.0,666.0,19.0
Lasagnes au saumon et épinards,Thiriet,4.0,43.0,97.5,3.0
JAMBON AC LABEL RGE LEFOUE,Le Foué,4.0,36.0,614.2,15.0
Brochettes de porc,Boucheries André,3.0,17.0,636.4,4.0
saucisses aux choux et poireaux,Socopa,4.0,33.0,333.0,19.0
Pâté en Croûte de Volaille,Carrefour,4.0,,202.71,18.0
Pizza Saumon,E.Leclerc,4.0,50.0,91.85,9.0
5 Steaks de Porc (Sélection Fan de Barbecue),"L'Etal du Boucher,Cooperl",1.0,30.0,740.0,0.0
Pizza Montagnarde,Leclerc,4.0,,614.2,15.0
pâté de campagne a l'ancienne,leclerc,4.0,19.0,400.34,3.0
Boudins noirs nature,Porcidou,4.0,,100.0,20.0
5 boudins noirs piment,Porcidou,4.0,,100.0,20.0
Mini boudins noirs nature,Porcidou,4.0,77.0,100.0,20.0
Dinde Farcie aux Pommes aux Figues & aux Marrons,Picard,4.0,50.0,47.19,0.0
Dinde farcie,Picard,4.0,37.0,22.2,2.0
Poularde Farcie aux Morilles et au Vin Jaune,Picard,4.0,51.0,96.93,3.0
Pizza lardon (taiteur),Leclerc,4.0,,192.4,16.0
Piemontaise au jambon,Leclerc,4.0,41.0,74.0,4.0
Pizza la Normanvillaise Leclerc,Leclerc,4.0,,532.8,28.0
Rillette de saumon,,3.0,13.0,182.0,19.0
Pizza reine,,4.0,,125.8,20.0
Chipolata Supérieure,Jean Rozé,4.0,57.0,688.2,15.0
4 saucisses de Toulouse supérieures,jean rozé,4.0,22.0,688.2,15.0
2 Pavés Marinés Échalote,"Jean Rozé,Intermarché",4.0,,3257.8,3.0
2 Pavés Marinés Échalote,"Jean Rozé,Intermarché",4.0,,3257.8,3.0
Saucisses de francfort,Le Porc Francais,4.0,38.0,540.2,25.0
Véritable Jambon persillé de Bourgogne,Intermarché,4.0,,319.68,8.0
Piemontaise au jambon superieur,Carrefour,4.0,42.0,79.92,7.0
Rôti de porc foie gras figues,Maître Jacques,4.0,6.0,518.0,8.0
Rôti filet de porc marrons et girolles,Maître Jacques,4.0,6.0,473.6,11.0
Rôti de porc à la Savoyarde,Maître Jacques,4.0,21.0,466.2,7.0
Jarret demi sel,Netto,4.0,,643.8,13.0
Aiguillettes de Poulet Marinées Huile d'Olive Romarin,Maître Coq,4.0,51.0,441.0,-3.0
Aiguillettes de poulet marinés thym citron,Maître Coq,4.0,51.0,455.7,-3.0
Aiguillettes de poulet,Maître Coq,4.0,51.0,455.7,0.0
Filet de poulet,Maitre Coq,4.0,22.0,465.5,-3.0
filets de poulet marinés,Maître Coq,4.0,45.0,465.5,-3.0
Piemontaise au jambon,Boucherie André,4.0,39.0,96.2,5.0
Les Milanaises,Le Gaulois,4.0,44.0,572.0,-2.0
Grignottes de poulet cuites,Le Gaulois,4.0,,426.3,12.0
L'Extra Tendre Filet de Poulet Mariné,Le Gaulois,4.0,51.0,450.8,-3.0
Filets de poulet extra tendre,Le Gaulois,4.0,49.0,450.8,-2.0
Filets Rôtis de Poulet,Père Dodu,4.0,22.0,441.0,1.0
Cuisses de Poulet Rôties ,Le Gaulois,4.0,49.0,426.3,11.0
grignottes de poulet à la mexicaine,Le Gaulois,4.0,27.0,406.7,11.0
Grignottes de poulet à la mexicaine,Le Gaulois,4.0,27.0,406.7,11.0
Pâté en croûte supérieur au jambon,Carrefour,4.0,,295.26,14.0
Tartare saumon fumé ciboulette et citron,Ronde Des Mers,3.0,10.0,506.0,14.0
Terrine de lapin,Carrefour,4.0,,202.5,17.0
Pâté de campagne à la salvetoise,Cabrol,4.0,41.0,222.0,22.0
Lasagnes saumon épinard,André,4.0,43.0,117.0,-1.0
Saucisses fumées,Porcidou,4.0,,100.0,21.0
Escalopes milanaise,Père Dodu,4.0,11.0,401.8,-1.0
Haché de jambon pané,Charcuterie Cosme,4.0,,666.0,18.0
Paupiettes de veau,Tendriade,4.0,,426.4,15.0
Rôti de Veau Farci,Tendriade,4.0,-10.0,1322.45,13.0
Saucisson sec,Manet Freres,4.0,16.0,222.0,27.0
Jésus cuit boyau naturel,,4.0,,717.8,16.0
Faux-filet de boeuf,Charal,1.0,25.0,3580.0,0.0
Saucisson à l’ail à l’ancienne,"U Saveurs, U",4.0,9.0,266.4,20.0
Saucisse de nuremberg,,4.0,,703.0,24.0
Jambon de Paris supérieur en tranches,Charles Keller,4.0,,680.8,11.0
Jambon de paris,Charles Keller,4.0,12.0,680.8,11.0
Jambon de Paris 4 tranches,Charles Keller,4.0,12.0,680.8,11.0
Saucisse de volaille,Réghalal,4.0,27.0,409.5,2.0
rôti de porc fumé,Maître Jacques,4.0,,710.4,-2.0
ROTI DE PORC FUMÉ,Maître Jacques,4.0,23.0,666.0,12.0
Tagliatelle au saumon,Bofrost,4.0,,78.0,6.0
Saucisse de viande,Metzger Muller,4.0,46.0,179.0,24.0
Saucisse de pomme de terre,Metzger Muller,4.0,,325.6,8.0
Poitrine fumée,Metzger Muller,4.0,1.0,673.4,27.0
Tourte au Riesling d'Alsace,Metzger Muller,4.0,,244.2,19.0
Jambon en croute,Metzger Muller,4.0,,444.0,15.0
Filet Mignon en Croûte,Metzger Muller,4.0,,318.2,19.0
Filet mignon de porc,Le Porc Francais,4.0,,606.8,8.0
Saucisse fumée,salaisons de bourbon,4.0,,717.8,21.0
2 Bavettes d'Aloyau,Charal,1.0,14.0,3580.0,1.0
2 Faux-Filets de Bœuf,Charal,1.0,14.0,3580.0,0.0
Poulet en gelée aux légumes,Carrefour,4.0,,313.6,1.0
Aspic Oeuf jambon,Pierre Schmidt,4.0,,170.2,7.0
Tendres bouchées de volaille,Royal HALAL,4.0,38.0,429.0,-2.0
petit salé aux lentilles,Auchan,4.0,,143.56,0.0
dès de jambon,tradilege,4.0,41.0,629.0,7.0
Steack haché casher,Bakar,1.0,-11.0,3580.0,6.0
salade fresh bowling au poulet mariné aneth,I-Lunch,4.0,,93.1,-7.0
fricadelle de porc,saint alby,4.0,,592.0,6.0
Lasagnes à la Bolognaise,Qilibri,4.0,37.0,501.2,4.0
Couscous a la marocaine poulet et merguez,Qilibri,4.0,52.0,88.2,3.0
"Paëlla andalouse poulet, fruits de mer et chorizo",Qilibri,4.0,33.0,73.5,4.0
Chili con carne,Qilibri,4.0,-1.0,368.74,2.0
Ravioli au bœuf sauce tomate,Qilibri,4.0,62.0,35.8,4.0
Pavé de saumon sauce aneth et son riz,Qilibri,4.0,25.0,162.5,3.0
Hachis parmentier pur bœuf Bio,Qilibri,4.0,36.0,716.0,5.0
Saumon mariné purée de courgettes et pommes de terre,Qilibri,4.0,11.0,169.0,4.0
Salade Mexicaine,Qilibri,4.0,,98.0,1.0
Salade Provençale,Qilibri,4.0,,98.0,2.0
Cordons bleus volaille,Bofrost,4.0,8.0,294.0,3.0
Gid So 1,Viet Hung,4.0,,414.4,15.0
Chocolate amargo 70% cacao,Turin,4.0,,100.0,18.0
Terrine campagnarde aux algues,La ferme du Triskel,3.0,,444.0,3.0
Chataignes,cesares,,,150.0,3.0
boulettes provençales,interdis,4.0,,2577.6,18.0
jambon traditionnel,Saint Alby,4.0,19.0,717.8,13.0
Kerst: Julskinka (kerstham) Doos 1278 Gram Diepvries,Ikea,4.0,12.0,703.0,15.0
Boulettes de viande,Ikea,3.0,,2212.0,17.0
Honey & Mustard Chicken Pasta,Tesco,4.0,,58.8,1.0
boulghour curry émietté de poulet,"gayelord hauser diététicien, Gayelord Hauser",1.0,,49.0,-5.0
Suédois Jambon Cheddar fondu,sodebo,4.0,29.0,207.2,17.0
croustillant saumon et poireau,Sacré bleu!,4.0,,214.5,14.0
Le jambonneau,super u,4.0,35.0,703.0,11.0
Le Delirie di Mamma Puggia Sauce Bolognaise avec viande de boeuf,Le Delizie di Mamma Puggia,3.0,110.0,690.94,1.0
Médaillons de filet de poulet,L'étal du Volailler,1.0,51.0,490.0,-6.0
Piémontaise,Bonduelle,4.0,39.0,93.1,3.0
Olivia,Exki,3.0,,51.8,7.0
Capri,Exki,4.0,,66.6,3.0
Ravioli jambon fromage,Lustucru,4.0,50.0,14.8,15.0
Riz Cantonais,SFS,4.0,37.0,66.6,6.0
,L'Étal du Boucher,4.0,-4.0,2864.0,15.0
Blanc de dinde - glacé au miel,La Grange,4.0,15.0,520.0,4.0
Salade penne italienne,Mix,4.0,,44.4,6.0
Sandwich jambon cheddar,DAUNAT,4.0,28.0,116.92,6.0
Rillettes de Poulet Rôti,Bordeau Chesnel,3.0,25.0,441.0,17.0
Salade au saumon & céréales,Delpierre,4.0,,66.0,2.0
Escalope de poulet pané,Restor Chef,3.0,6.0,426.3,6.0
Rillettes de poulet,bioporc,3.0,52.0,240.1,15.0
Köttbullar med Potatismos Och Gräddsås,Ikea,4.0,,2212.0,7.0
Lasagne bolognese,Eismann,4.0,30.0,358.0,5.0
"16 mini nems - poulet, menthe, légumes, coriandre",Cuisine Evasion,4.0,28.0,25.48,4.0
CRÊPES SAVOYARDES,DESSAINT TRAITEUR,4.0,67.0,74.0,5.0
Haché pur bœuf,tous les jours,1.0,-10.0,3580.0,12.0
Sjorapport,,3.0,21.0,604.5,14.0
Lasagnes à la Bolognaise au Bœuf,Ikea,4.0,34.0,572.8,7.0
Émincés de Jambon,Monique Ranou,4.0,,606.8,5.0
Sjörapport Cold-Smoked Salmon,Ikea,3.0,25.0,630.5,15.0
Knack filière,Stoeffler,4.0,,853.8,21.0
Pavés de poulet,"L’étal Du Vollailler,Lidl",1.0,22.0,490.0,-4.0
Saumon gravelax,"Saumon IKEA,IKEA",3.0,41.0,611.0,17.0
Lasagne bolognaise au bœuf,Ikea,4.0,30.0,572.8,7.0
Pizza 4 saisons,Paren,4.0,,731.3,3.0
Pizza aux 4 garnitures,Paren,4.0,,1139.0,5.0
Hachis Parmienter Family,"Family,Carrefour",4.0,,787.6,3.0
Filet Minute Extra Tendre,Le Gaulois,4.0,50.0,445.9,-1.0
Poêlée gourmande Family tartiflette,Carrefour,4.0,,140.6,3.0
Salade chicken coleslaw,McDonald's,4.0,28.0,530.18,2.0
Pizza Cuite sur Pierre Kebab,"Mama Mancini,Aldi Einkauf GmbH & Compagnie-oHG",4.0,43.0,57.82,5.0
Salade Chicken Caesar,McDonald's,4.0,51.0,586.04,2.0
Pizza bolognaise surgelée - Casino,casino,4.0,24.0,748.22,5.0
Bacon & Onion Sauce,McDonald's,4.0,,37.0,21.0
Salade Chicken Caesar,McDonald's,4.0,51.0,653.17,2.0
Vol au Vent,Vewi,4.0,,147.0,-1.0
Saumon à l'oseille et riz,"La cuisine des Saveurs,Aldi",4.0,,162.5,6.0
Emincé de volaille aux champignons et riz,"La cuisine des Saveurs,Aldi",4.0,25.0,191.1,4.0
Piccolinis Bolognese,"Buitoni,Nestlé",4.0,25.0,358.0,6.0
Pollo Arrabiata Parmigiano Wood Fired Pizza,Marks & Spencer,3.0,92.0,36.75,5.0
Les pâtés de Léo & Léa Pâté de Volaille sans porc sans boeuf,"Soulié,Soulié restauration,Les pâtés de Léo & Léa",4.0,,73.5,20.0
Lasagne Bolognese,Come a Casa,4.0,35.0,118.4,3.0
"Poêlée de poulet, wedges façon rôtissoire",Picard,4.0,,58.8,0.0
Couscous royal,Toupargel,4.0,,4582.4,4.0
Hachis parmentier,Toupargel,4.0,9.0,637.24,4.0
Lasagnes à la bolognaise,Toupargel,4.0,30.0,354.42,4.0
Lasagnes au saumon et épinards,,4.0,43.0,97.5,3.0
Lasagnes saumon poireaux,Monoprix,4.0,43.0,61.35,4.0
Cannelloni à la bolognaise,Toupargel,4.0,,426.02,5.0
Moussaka,Thiriet,4.0,,644.4,4.0
Moussaka,Toupargel,4.0,,511.94,4.0
Boeuf Teriyaki,,4.0,,716.0,2.0
Poulet curry vert,,4.0,44.0,98.0,4.0
Nouilles impériales,,4.0,,49.0,2.0
Sandwich Poulet et Sauce à la Mayonnaise Épicée,Marks & Spencer,4.0,47.0,112.7,2.0
Géante Bolognaise,Les pizzas des Terrasses,4.0,23.0,601.44,7.0
Fondant de boeuf cru mariné,Charal,3.0,,3472.6,11.0
Nestle Agüitas Manzana,nestle,4.0,,0.0,7.0
Terrine de Chevreuil,"AJM,SARL AJM",3.0,,0.05,22.0
Terrine de Lapin,"AJM,sarl AJM",3.0,44.0,202.5,22.0
TERRINE AUX CHÂTAIGNES,"AJM,Sarl AJM",3.0,61.0,0.05,22.0
Samoussa au Poulet Tikka,Marks & Spencer,4.0,-12.0,122.5,6.0
Pizza Reine,LA PIZZA DE NICO,4.0,40.0,614.2,7.0
"Pizza tomate cerise, mozzarella, jambon bio",Picard,3.0,,65.86,6.0
Blanquette de veau et ses légumes,Léon Fargues,4.0,4.0,471.5,1.0
Les bouchées apéritives de saumon fumé,Ïod,3.0,33.0,1600.5,12.0
4 escalopes de poulet panure fine et croustillante,Picard,4.0,,313.6,-2.0
Gyozas aux légumes,Ajinomoto,4.0,,101.0,4.0
Cheese Hot Chicken Flavor Ramen,Samyang,4.0,,747.0,21.0
Jajiang Hot Chicken Flavor Ramen,Samyang,4.0,,0.0,22.0
Ravioli aux crevettes,Food Licheng,,,0.0,8.0
Vermicelles de patate douce,Wang,1.0,,0.0,4.0
Whole grain flour,Dobrogea,,,0.0,-9.0
Pecan Paste,Camrry,,,15.0,21.0
Dobrogean pie,Dobrogea,3.0,,0.0,15.0
Cheese pie,linco,4.0,,0.0,4.0
Paine alba cu seminte,Dobrogea,4.0,,0.0,2.0
White Lebanese stick,Dobrogea,4.0,,0.0,3.0
Lebanese stick with graham flour,Dobrogea,4.0,,0.0,-2.0
Coquillettes au Jambon et au fromage,"La cuisine des Saveurs, Aldi",4.0,,87.32,5.0
Paëlla Royale,"La cuisine des saveurs, Aldi",4.0,47.0,128.38,1.0
Poulet Tikka Riz Basmati,Asia green garden,4.0,26.0,98.0,2.0
Haché au bœuf,HelloFresh,1.0,27.0,3544.2,8.0
Baguette Millavoise 6 céréales,,4.0,98.0,0.0,2.0
Ragù alla bolognese,Italiamo,4.0,10.0,410.4,4.0
Cuneo,Exki,4.0,,710.4,0.0
Glenfell - Cordon bleu de poulet,"Culinea,Gebr. Stolle",4.0,24.0,1035.8,3.0
Lasagne Bolognese,"Chef Select,Stefano Toselli",4.0,32.0,177.6,7.0
Доматен сос Болонезе,"Combino,La Doria",4.0,28.0,751.8,9.0
Chair à Saucisse,"L'Étal du Boucher,Lidl",4.0,34.0,666.0,16.0
Saucisse de Lyon,"Saint Alby,Dulano",4.0,,569.8,19.0
Saucisse de Jambon en tranches,"Saint Alby,Dulano",4.0,,614.2,20.0
Blanc de Dinde Rôti,Saint Alby,4.0,13.0,624.0,12.0
Delikatess Kochhinterschinken,Dulano,4.0,12.0,703.0,8.0
Wurst Saucisse de viande,Dulano,4.0,,592.0,24.0
Geflüglfleischwurst,Dulano,4.0,,474.5,15.0
Saucisses de Francfort fumées,"Saint Alby,Dulano",4.0,26.0,636.4,21.0
Poitrine cuite fumée,"Saint Alby,Dulano",4.0,33.0,714.1,24.0
Hühnernudeltopf,"Coquette, Lidl kania",4.0,,39.2,3.0
Schmelzkäse,Dulano,4.0,23.0,591.5,28.0
macaroni cheese,Newgate,4.0,,357.5,4.0
Blanc de Poulet - Cuit à l'étouffée (4 tranches),Saint Alby,4.0,21.0,421.4,3.0
Dès de jambon,Saint Alby,4.0,17.0,688.2,11.0
Cervelas,Saint Alby,4.0,50.0,629.0,21.0
Assortiment Alsacien,L espiguette,4.0,,130.24,18.0
Maionese bio,"Saveurs de Nos Régions,Lidl",4.0,,799.2,20.0
Chorizo fort,Le Césarin,4.0,33.0,26.64,33.0
Pâté en croûte cocktail,"Toque du Chef,Roland Monterrat",4.0,3.0,177.6,17.0
Croque monsieur,"Toque Du Chef,Lidl",4.0,40.0,208.68,11.0
Piémontaise,Saladinettes,4.0,47.0,74.0,5.0
Caffe crema,"Toque Du Chef,Combino,Lidl Stiftung & Co. KG",4.0,70.0,22.75,3.0
Ravioli Bolognaise,"Toque du Chef,Combino,Lidl",4.0,74.0,91.66,5.0
Norwegian Smoked Salmon,ocean sea,3.0,34.0,630.5,16.0
Lard petit déjeuner,Saint alby,4.0,,710.4,25.0
Saumon fumé,Lighthouse Bay,3.0,28.0,630.5,17.0
Bio Nürnberger Rostbratwurst,Metzgerfrisch,4.0,,703.0,22.0
Bio Bierschinken,Bio organic,4.0,,673.4,17.0
Tarte Flambée,Les Régions à Table,4.0,64.0,88.8,14.0
Fuet Extra,Saint Alby,4.0,,498.02,35.0
"Kanan grillivarras, hunaja bbq",Grillimaisteri,4.0,43.0,318.5,1.0
Puda Back Oblaten,NEPTUNE GARDEN,3.0,10.0,630.5,24.0
Knakworsten,Zwagerman,4.0,3.0,569.8,13.0
3 boudins blancs,Saint Alby,3.0,72.0,312.1,19.0
Pfifferlinge,"Norma, Lidl",4.0,,703.0,20.0
4 Brochettes de dinde nature - Poivrons verts,l'etal du volailler,4.0,50.0,468.0,1.0
,Dulano,4.0,15.0,475.3,3.0
Panés 3 fromages au jambon,Toque du Chef,4.0,30.0,203.8,16.0
Pizza Savoyarde au feu de bois,Trattoria Alfredo,4.0,,49.58,14.0
Purée savoyarde,saveurs de saisons,4.0,,31.08,8.0
Canette farcie,DELUXE,3.0,44.0,101.62,4.0
"Dinde farcie aux Pommes, Figues sèches et Marrons",Deluxe Lidl,4.0,50.0,50.91,-2.0
Couscous à la marocaine au poulet & merguez,Lidl Toque du Chef,4.0,86.0,88.2,3.0
Pizza raclette Bacon,"Lidl,Toque du Chef",4.0,,41.44,13.0
Burger pavé graines et poulet,"Select & Go,Lidl",4.0,,95.06,13.0
Poêlée de Kebab,"Glenfell,Culinea",4.0,,3329.4,16.0
18 Veritables Merguez,BOUCHERIE ST CLEMENT,4.0,,2362.8,23.0
2 club sandwichs Saumon,,4.0,77.0,136.5,4.0
Boudin blanc de Rethel,Pays Gourmand de nos Régions,3.0,16.0,417.36,8.0
Club sandwich jambon cheddar,Bistro Vite !,4.0,59.0,246.42,17.0
4 saucisses de Toulouse,boucherie st clément,4.0,18.0,679.32,17.0
Mini chorizo,HACIENDA DEL SABOR,4.0,,1191.4,35.0
Saucisse de toulouse brasse,BOUCHERIE ST CLEMENT,4.0,,673.4,19.0
